Dan,Charlie,Claire,Alex,Joe,Ryan,Trunzo
Arsenal,Arsenal,Aston Villa,Chelsea,Manchester United,Arsenal,Chelsea
Man U,Man City,Liverpool,Man U,Manchester City,Chelsea,Manchester United
Chelsea,Chelsea,Arsenal,Arsenal,Chelsea,City,Arsenal
Man City,Liverpool,Man U,Man City,Arsenal,Man United,Manchester City
Tottenham,Man U,Man City,Tottenham,Liverpool,Liverpool,Liverpool
Liverpool,Southampton,Chelsea,Swansea,Swansea,Everton,Tottenham Hotspur
Southhampton,Swansea,Everton,Liverpool,Tottenham,Spurs,Southampton
Swansea,Tottenham,Crystal Palace,Southampton,Southampton,Swansea,Swansea City
Newcastle,Crystal Palace,Tottenham,Stoke,Stoke,Southampton,Crystal Palace
West Ham,Stoke,Southampton,Everton,Crystal Palace,Stoke,Newcastle United
Stoke,WBA,Swansea,Crystal Palace,Everton,WBA,Everton
Everton,West Ham,Stoke,West Ham,WBA,Newcastle,West Bromwich Albion
Leicester,Everton,Bournemouth,Leicester,West Ham,Crystal Palace,Stoke City
WBA,Sunderland,Newcastle,Bournemouth,Newcastle,Aston Villa,Aston Villa
Bornmouth,Aston Villa,WBA,Aston Villa,Bournemouth,Sunderland,Norwich City
Crystal Palace,Norwich,West Ham,Newcastle,Sunderland,Watford,Sunderland
Aston Villa,Newcastle,Watford,WBA,Norwich,West Ham,AFC Bournemouth
Watford,Bournemouth,Leicester,Norwich,Aston Villa,Norwich,West Ham United
Norwich,Leicester,Sunderland,Watford,Leicester,Leicester,Leicester City
Sunderland,Watford,Norwich,Sunderland,Watford,Bournemouth,Watford